m,TagName,
"2010-12-01 00:00:00","java","5668"
"2010-12-01 00:00:00","javascript","4955"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5375"
"2010-12-01 00:00:00","python","2473"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1022"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7978"
"2011-01-01 00:00:00","c++","3484"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6529"
"2011-01-01 00:00:00","javascript","5417"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","php","6403"
"2011-01-01 00:00:00","python","2896"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1634"
"2011-02-01 00:00:00","c#","8208"
"2011-02-01 00:00:00","c++","3436"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6856"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6687"
"2011-02-01 00:00:00","python","3008"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2108"
"2011-03-01 00:00:00","c#","9972"
"2011-03-01 00:00:00","c++","4172"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8456"
"2011-03-01 00:00:00","javascript","6763"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8077"
"2011-03-01 00:00:00","python","3741"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1637"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2033"
"2011-04-01 00:00:00","c#","9263"
"2011-04-01 00:00:00","c++","4161"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7887"
"2011-04-01 00:00:00","javascript","6877"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7626"
"2011-04-01 00:00:00","python","3331"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1822"
"2011-05-01 00:00:00","c#","9986"
"2011-05-01 00:00:00","c++","3873"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8547"
"2011-05-01 00:00:00","javascript","7303"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8069"
"2011-05-01 00:00:00","python","3513"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1564"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1761"
"2011-06-01 00:00:00","c#","9731"
"2011-06-01 00:00:00","c++","3803"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7875"
"2011-06-01 00:00:00","javascript","7671"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8005"
"2011-06-01 00:00:00","python","3461"
"2011-06-01 00:00:00","r","443"
"2011-06-01 00:00:00","ruby","1557"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","c#","9581"
"2011-07-01 00:00:00","c++","3848"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8137"
"2011-07-01 00:00:00","javascript","8091"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8646"
"2011-07-01 00:00:00","python","3651"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1580"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","10028"
"2011-08-01 00:00:00","c++","3951"
"2011-08-01 00:00:00","delphi","422"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8655"
"2011-08-01 00:00:00","javascript","8882"
"2011-08-01 00:00:00","perl","611"
"2011-08-01 00:00:00","php","8887"
"2011-08-01 00:00:00","python","3813"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1854"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1913"
"2011-09-01 00:00:00","c#","9275"
"2011-09-01 00:00:00","c++","3931"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8301"
"2011-09-01 00:00:00","javascript","8163"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8028"
"2011-09-01 00:00:00","python","3507"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1544"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9190"
"2011-10-01 00:00:00","c++","4336"
"2011-10-01 00:00:00","delphi","464"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8536"
"2011-10-01 00:00:00","javascript","8001"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","8025"
"2011-10-01 00:00:00","python","3610"
"2011-10-01 00:00:00","r","620"
"2011-10-01 00:00:00","ruby","1604"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","c#","9872"
"2011-11-01 00:00:00","c++","4469"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9606"
"2011-11-01 00:00:00","javascript","8648"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8645"
"2011-11-01 00:00:00","python","3869"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1736"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2003"
"2011-12-01 00:00:00","c#","9289"
"2011-12-01 00:00:00","c++","4347"
"2011-12-01 00:00:00","delphi","571"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9159"
"2011-12-01 00:00:00","javascript","8308"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8300"
"2011-12-01 00:00:00","python","3614"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1677"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2227"
"2012-01-01 00:00:00","c#","10376"
"2012-01-01 00:00:00","c++","4533"
"2012-01-01 00:00:00","delphi","510"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10092"
"2012-01-01 00:00:00","javascript","9565"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9260"
"2012-01-01 00:00:00","python","4193"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1894"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","230"
"2012-02-01 00:00:00","c","2402"
"2012-02-01 00:00:00","c#","10712"
"2012-02-01 00:00:00","c++","5090"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10905"
"2012-02-01 00:00:00","javascript","9943"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9864"
"2012-02-01 00:00:00","python","4484"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2039"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2718"
"2012-03-01 00:00:00","c#","11533"
"2012-03-01 00:00:00","c++","5208"
"2012-03-01 00:00:00","delphi","495"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12317"
"2012-03-01 00:00:00","javascript","10644"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10805"
"2012-03-01 00:00:00","python","5020"
"2012-03-01 00:00:00","r","888"
"2012-03-01 00:00:00","ruby","2178"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2662"
"2012-04-01 00:00:00","c#","11065"
"2012-04-01 00:00:00","c++","5282"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11967"
"2012-04-01 00:00:00","javascript","10627"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10343"
"2012-04-01 00:00:00","python","4904"
"2012-04-01 00:00:00","r","838"
"2012-04-01 00:00:00","ruby","1961"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2478"
"2012-05-01 00:00:00","c#","11534"
"2012-05-01 00:00:00","c++","4977"
"2012-05-01 00:00:00","delphi","479"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12147"
"2012-05-01 00:00:00","javascript","11498"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10889"
"2012-05-01 00:00:00","python","5074"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1971"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2307"
"2012-06-01 00:00:00","c#","11300"
"2012-06-01 00:00:00","c++","4641"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11086"
"2012-06-01 00:00:00","javascript","11210"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10527"
"2012-06-01 00:00:00","python","5265"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","ruby","1885"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2365"
"2012-07-01 00:00:00","c#","12298"
"2012-07-01 00:00:00","c++","5261"
"2012-07-01 00:00:00","delphi","439"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12227"
"2012-07-01 00:00:00","javascript","12301"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11695"
"2012-07-01 00:00:00","python","5717"
"2012-07-01 00:00:00","r","1117"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2313"
"2012-08-01 00:00:00","c#","11931"
"2012-08-01 00:00:00","c++","5157"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12233"
"2012-08-01 00:00:00","javascript","12420"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11862"
"2012-08-01 00:00:00","python","5858"
"2012-08-01 00:00:00","r","1088"
"2012-08-01 00:00:00","ruby","2057"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","222"
"2012-09-01 00:00:00","c","2527"
"2012-09-01 00:00:00","c#","11256"
"2012-09-01 00:00:00","c++","4903"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11601"
"2012-09-01 00:00:00","javascript","11156"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10955"
"2012-09-01 00:00:00","python","5248"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3150"
"2012-10-01 00:00:00","c#","12705"
"2012-10-01 00:00:00","c++","5901"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13460"
"2012-10-01 00:00:00","javascript","12405"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11726"
"2012-10-01 00:00:00","python","6126"
